5;FACT-001179;13;19.00;0.00;0.00;0.00;0.00;24.47;464.93;
6;FACT-001179;12;20.00;0.00;0.00;0.00;0.00;6.62;132.40;
1;FACT-001180;2;10.00;0.00;0.00;0.00;0.00;18.58;185.80;
2;FACT-001180;9;20.00;0.00;0.00;0.00;0.00;13.74;274.80;
3;FACT-001180;11;20.00;0.00;0.00;0.00;0.00;11.20;224.00;
4;FACT-001180;12;20.00;0.00;0.00;0.00;0.00;6.62;132.40;
5;FACT-001180;3;10.00;0.00;0.00;0.00;0.00;21.38;213.80;
1;FACT-001181;6;200.00;0.00;0.00;0.00;0.00;33.28;6656.00;
2;FACT-001181;9;60.00;0.00;0.00;0.00;0.00;13.82;829.20;
3;FACT-001181;11;100.00;0.00;0.00;0.00;0.00;11.26;1126.00;
4;FACT-001181;15;20.00;0.00;0.00;0.00;0.00;23.04;460.80;
5;FACT-001181;14;30.00;0.00;0.00;0.00;0.00;20.48;614.40;
1;FACT-001182;9;3.00;0.00;0.00;0.00;0.00;20.00;60.00;
1;FACT-001183;9;6.00;0.00;0.00;0.00;0.00;20.00;120.00;
1;FACT-001184;16;49.00;0.00;0.00;0.00;0.00;20.60;1009.40;
2;FACT-001184;1;20.00;0.00;0.00;0.00;0.00;38.63;772.60;
3;FACT-001184;2;100.00;0.00;0.00;0.00;0.00;18.80;1880.00;
4;FACT-001184;6;60.00;0.00;0.00;0.00;0.00;33.48;2008.80;
5;FACT-001184;9;60.00;0.00;0.00;0.00;0.00;13.91;834.60;
6;FACT-001184;11;50.00;0.00;0.00;0.00;0.00;11.33;566.50;
7;FACT-001184;13;50.00;0.00;0.00;0.00;0.00;26.78;1339.00;
8;FACT-001184;7;60.00;0.00;0.00;0.00;0.00;36.05;2163.00;
9;FACT-001184;15;100.00;0.00;0.00;0.00;0.00;13.18;1318.00;
10;FACT-001184;14;40.00;0.00;0.00;0.00;0.00;20.60;824.00;
11;FACT-001184;5;40.00;0.00;0.00;0.00;0.00;46.35;1854.00;
12;FACT-001184;4;40.00;0.00;0.00;0.00;0.00;51.50;2060.00;
13;FACT-001184;12;100.00;0.00;0.00;0.00;0.00;6.70;670.00;
14;FACT-001184;3;50.00;0.00;0.00;0.00;0.00;21.63;1081.50;
1;FACT-001185;11;50.00;0.00;0.00;0.00;0.00;11.33;566.50;
2;FACT-001185;5;50.00;0.00;0.00;0.00;0.00;46.35;2317.50;
3;FACT-001185;3;100.00;0.00;0.00;0.00;0.00;21.63;2163.00;
1;FACT-001186;16;20.00;0.00;0.00;0.00;0.00;20.64;412.80;
2;FACT-001186;2;80.00;0.00;0.00;0.00;0.00;18.83;1506.40;
1;FACT-001187;1;10.00;0.00;0.00;0.00;0.00;38.70;387.00;
2;FACT-001187;9;100.00;0.00;0.00;0.00;0.00;13.93;1393.00;
3;FACT-001187;11;20.00;0.00;0.00;0.00;0.00;11.35;227.00;
4;FACT-001187;13;20.00;0.00;0.00;0.00;0.00;26.83;536.60;
5;FACT-001187;7;60.00;0.00;0.00;0.00;0.00;36.12;2167.20;
6;FACT-001187;15;10.00;0.00;0.00;0.00;0.00;23.22;232.20;
7;FACT-001187;4;40.00;0.00;0.00;0.00;0.00;51.60;2064.00;
8;FACT-001187;12;100.00;0.00;0.00;0.00;0.00;6.71;671.00;
1;FACT-001188;16;14.00;0.00;0.00;0.00;0.00;21.00;294.00;
2;FACT-001188;1;20.00;0.00;0.00;0.00;0.00;39.38;787.60;
3;FACT-001188;2;20.00;0.00;0.00;0.00;0.00;19.16;383.20;
4;FACT-001188;9;20.00;0.00;0.00;0.00;0.00;14.18;283.60;
5;FACT-001188;11;50.00;0.00;0.00;0.00;0.00;11.55;577.50;
