FACT-043668|2025-01-06 09:11:49|363|363|7067.53|0.00|0.00|0.00|7067.53|FACT|01|01|N/A|2025-01-06 09:11:49|00-047524|411283029|411939188||Bs.|66.56|
FACT-043669|2025-01-06 09:14:17|1735|1735|10164.24|0.00|0.00|0.00|10164.24|FACT|01|01|N/A|2025-01-06 09:14:17|00-047525|501557934|411939188||Bs.|66.56|
FACT-043670|2025-01-06 09:15:17|363|363|10415.84|0.00|0.00|0.00|10415.84|FACT|01|01|N/A|2025-01-06 09:15:17|00-047526|411283029|411939188||Bs.|66.56|
FACT-043671|2025-01-06 09:16:48|363|363|12980.28|90.14|563.40|0.00|13070.42|FACT|01|01|N/A|2025-01-06 09:16:48|00-047527|411283029|411939188||Bs.|66.56|
FACT-043672|2025-01-06 09:18:37|363|363|6557.28|0.00|0.00|0.00|6557.28|FACT|01|01|N/A|2025-01-06 09:18:37|00-047528|411283029|411939188||Bs.|66.56|
FACT-043673|2025-01-06 11:36:17|2138|2138|6129.53|0.00|0.00|0.00|6129.53|FACT|01|01|N/A|2025-01-06 11:36:17|00-047529|506181258|411939188||Bs.|66.56|
FACT-043674|2025-01-06 11:44:45|2074|2074|13316.73|0.00|0.00|0.00|13316.73|FACT|01|01|N/A|2025-01-06 11:44:45|00-047530|505537857|411939188||Bs.|66.56|
FACT-043675|2025-01-06 12:41:55|1893|1893|608.63|0.00|0.00|0.00|608.63|FACT|01|01|N/A|2025-01-06 12:41:55|00-047531|501216010|411939188||Bs.|66.56|
FACT-043676|2025-01-06 12:49:38|795|795|36783.82|0.00|0.00|0.00|36783.82|FACT|01|01|N/A|2025-01-06 12:49:38|00-047532|412604155|411939188||Bs.|66.56|
FACT-043677|2025-01-06 12:49:40|795|795|31830.91|0.00|0.00|0.00|31830.91|FACT|01|01|N/A|2025-01-06 12:49:40|00-047533|412604155|411939188||Bs.|66.56|
FACT-043678|2025-01-06 12:49:42|795|795|35828.39|411.88|2574.24|0.00|36240.27|FACT|01|01|N/A|2025-01-06 12:49:42|00-047534|412604155|411939188||Bs.|66.56|
FACT-043679|2025-01-06 12:49:44|795|795|13566.92|0.00|0.00|0.00|13566.92|FACT|01|01|N/A|2025-01-06 12:49:44|00-047535|412604155|411939188||Bs.|66.56|
FACT-043680|2025-01-06 13:01:49|1896|1896|1304.83|0.00|0.00|0.00|1304.83|FACT|01|01|N/A|2025-01-06 13:01:49|00-047536|500406193|411939188||Bs.|66.56|
FACT-043681|2025-01-06 14:11:06|2017|2017|17769.02|0.00|0.00|0.00|17769.02|FACT|01|01|N/A|2025-01-06 14:11:06|00-047537|503380810|411939188||Bs.|66.56|
FACT-043682|2025-01-06 14:11:08|2017|2017|9790.50|0.00|0.00|0.00|9790.50|FACT|01|01|N/A|2025-01-06 14:11:08|00-047538|503380810|411939188||Bs.|66.56|
