FACT-014661;1129;Bs.;4.15;33;2021-10-11 00:00:00;2021-10-11 00:00:00;15256;995.00;0.00;995.00;FC;1;0.00;0
FACT-014447;595;Bs.;4.18;24;2021-10-04 00:00:00;2021-10-04 00:00:00;15039;3775.22;0.00;3775.22;FC;0;0.00;0
NC-000543;797;Bs.;4142727.04;27;2021-10-04 00:00:00;2021-10-04 00:00:00;15040;45000000.00;0.00;45000000.00;NC;1;0.00;0
FACT-014448;797;Bs.;4.18;;2021-10-04 00:00:00;2021-10-04 00:00:00;15041;41.40;0.00;41.40;FC;0;0.00;0
FACT-014449;595;Bs.;4.18;24;2021-10-04 00:00:00;2021-10-04 00:00:00;15042;3400.80;5.50;3406.30;FC;0;0.00;0
FACT-014450;595;Bs.;4.18;24;2021-10-04 00:00:00;2021-10-04 00:00:00;15043;4912.30;0.00;4912.30;FC;0;0.00;0
FACT-014451;277;Bs.;4.18;14;2021-10-04 00:00:00;2021-10-04 00:00:00;15044;1268.18;0.00;1268.18;FC;0;0.00;0
FACT-014452;539;Bs.;4.18;33;2021-10-04 00:00:00;2021-10-04 00:00:00;15045;1379.40;0.00;1379.40;FC;0;0.00;0
FACT-014453;729;Bs.;4.18;;2021-10-04 00:00:00;2021-10-04 00:00:00;15046;1127.13;2.76;1129.89;FC;0;0.00;0
FACT-014454;22;Bs.;4.18;33;2021-10-04 00:00:00;2021-10-04 00:00:00;15047;3132.21;0.00;3132.21;FC;0;0.00;0
FACT-014455;517;Bs.;4.18;33;2021-10-04 00:00:00;2021-10-04 00:00:00;15048;3446.94;11.97;3458.91;FC;0;0.00;0
FACT-014456;1255;Bs.;4.17;12;2021-10-05 00:00:00;2021-10-05 00:00:00;15049;607.62;0.00;607.62;FC;0;0.00;0
FACT-014457;193;Bs.;4.17;13;2021-10-05 00:00:00;2021-10-05 00:00:00;15050;1037.71;0.00;1037.71;FC;0;0.00;0
FACT-014458;193;Bs.;4.17;13;2021-10-05 00:00:00;2021-10-05 00:00:00;15051;113.51;0.00;113.51;FC;0;0.00;0
FACT-014459;193;Bs.;4.17;13;2021-10-05 00:00:00;2021-10-05 00:00:00;15052;146.48;0.00;146.48;FC;0;0.00;0
