6;1088;1045412;254;200.00;0.00;0.00;7.90;1580.0000
7;1088;1045412;92;9.00;0.00;0.00;12.95;116.5500
8;1088;1045412;349;100.00;0.00;0.00;11.75;1175.0000
9;1088;1045412;123;100.00;0.00;0.00;6.60;660.0000
10;1088;1045412;510;200.00;0.00;0.00;9.31;1862.0000
11;1088;1045412;511;200.00;0.00;0.00;14.90;2980.0000
12;1088;1045412;512;100.00;0.00;0.00;13.32;1332.0000
13;1088;1045412;516;200.00;0.00;0.00;23.00;4600.0000
14;1088;1045412;513;200.00;0.00;0.00;11.73;2346.0000
15;1088;1045412;155;499.00;0.00;0.00;22.73;11342.2700
1;1089;1045392;243;300.00;0.00;0.00;7.95;2385.0000
2;1089;1045392;321;100.00;0.00;0.00;9.86;986.0000
3;1089;1045392;248;300.00;0.00;0.00;6.97;2091.0000
4;1089;1045392;253;200.00;0.00;0.00;4.53;906.0000
5;1089;1045392;69;200.00;0.00;0.00;4.90;980.0000
6;1089;1045392;513;200.00;0.00;0.00;9.38;1876.0000
7;1089;1045392;349;100.00;0.00;0.00;9.40;940.0000
8;1089;1045392;510;200.00;0.00;0.00;7.44;1488.0000
9;1089;1045392;512;100.00;0.00;0.00;10.66;1066.0000
10;1089;1045392;511;200.00;0.00;0.00;11.94;2388.0000
11;1089;1045392;516;200.00;0.00;0.00;18.40;3680.0000
12;1089;1045392;122;100.00;0.00;0.00;6.47;647.0000
13;1089;1045392;254;200.00;0.00;0.00;6.32;1264.0000
14;1089;1045392;491;300.00;0.00;0.00;6.72;2016.0000
1;1090;4015411;1238;200.00;0.00;0.00;29.73;5946.0000
2;1090;4015411;1239;200.00;0.00;0.00;31.34;6268.0000
1;1091;1045391;1238;200.00;0.00;0.00;29.73;5946.0000
2;1091;1045391;1239;200.00;0.00;0.00;31.34;6268.0000
1;1108;7000165845;1255;96.00;0.00;0.00;9.37;899.5200
1;1109;7000165844;135;96.00;0.00;0.00;83.85;8049.6000
1;1110;7000165848;761;120.00;0.00;0.00;10.45;1254.0000
2;1110;7000165848;820;96.00;0.00;0.00;6.49;623.0400
3;1110;7000165848;815;240.00;0.00;0.00;32.34;7761.6000
4;1110;7000165848;815;96.00;0.00;0.00;32.34;3104.6400
5;1110;7000165848;808;40.00;0.00;0.00;18.15;726.0000
6;1110;7000165848;814;644.00;0.00;0.00;47.41;30532.0400
7;1110;7000165848;1266;96.00;0.00;0.00;9.35;897.6000
1;1111;7000165851;813;120.00;0.00;0.00;23.65;2838.0000
2;1111;7000165851;812;96.00;0.00;0.00;12.10;1161.6000
3;1111;7000165851;819;180.00;0.00;0.00;29.04;5227.2000
